Date,Commodity,Market Region,Price per Unit (LKR/kg)
2/13/2020,Winged Bean,Colombo,372.34
2/13/2020,Bitter Melon,Colombo,121.33
2/13/2020,Brinjal,Colombo,269.4
2/13/2020,Long Purple Eggplant,Colombo,229.23
2/13/2020,Asiatic Pennywort,Colombo,293.91
2/13/2020,Red Spinach,Colombo,192.32
2/13/2020,Pennywort,Colombo,420.84
2/13/2020,Leeks,Colombo,258.31
2/13/2020,Carrot,Colombo,211.15
2/13/2020,Beetroot,Colombo,113.4
2/13/2020,Cabbage,Colombo,228.2
2/13/2020,Knol-Khol,Colombo,297.23
2/13/2020,Pumpkin,Colombo,382.32
2/13/2020,Onion,Colombo,106.5
2/13/2020,Potato,Colombo,485.11
2/13/2020,Drumsticks,Colombo,308.06
2/13/2020,Jackfruit,Colombo,253.59
2/13/2020,Breadfruit,Colombo,165.09
2/13/2020,Taro,Colombo,450.88
2/13/2020,Manioc,Colombo,75.47
2/20/2020,Winged Bean,Colombo,243.94
2/20/2020,Bitter Melon,Colombo,226.19
2/20/2020,Brinjal,Colombo,276.53
2/20/2020,Long Purple Eggplant,Colombo,180.72
2/20/2020,Asiatic Pennywort,Colombo,237.09
2/20/2020,Red Spinach,Colombo,434.1
2/20/2020,Pennywort,Colombo,251.61
2/20/2020,Leeks,Colombo,348.61
2/20/2020,Carrot,Colombo,265.77
2/20/2020,Beetroot,Colombo,340.22
2/20/2020,Cabbage,Colombo,80.52
2/20/2020,Knol-Khol,Colombo,62.17
2/20/2020,Pumpkin,Colombo,470.52
2/20/2020,Onion,Colombo,83.08
2/20/2020,Potato,Colombo,188.78
2/20/2020,Drumsticks,Colombo,498.25
2/20/2020,Jackfruit,Colombo,206.83
2/20/2020,Breadfruit,Colombo,356.31
2/20/2020,Taro,Colombo,346.06
2/20/2020,Manioc,Colombo,471
2/27/2020,Winged Bean,Colombo,387.2
2/27/2020,Bitter Melon,Colombo,60.2
2/27/2020,Brinjal,Colombo,453.91
2/27/2020,Long Purple Eggplant,Colombo,107.75
2/27/2020,Asiatic Pennywort,Colombo,275.64
2/27/2020,Red Spinach,Colombo,234.99
2/27/2020,Pennywort,Colombo,103.49
2/27/2020,Leeks,Colombo,433.04
2/27/2020,Carrot,Colombo,133.23
2/27/2020,Beetroot,Colombo,64.57
2/27/2020,Cabbage,Colombo,90.35
2/27/2020,Knol-Khol,Colombo,312.57
2/27/2020,Pumpkin,Colombo,258.79
2/27/2020,Onion,Colombo,157.35
2/27/2020,Potato,Colombo,84.02
2/27/2020,Drumsticks,Colombo,359.22
2/27/2020,Jackfruit,Colombo,107.53
2/27/2020,Breadfruit,Colombo,326.82
2/27/2020,Taro,Colombo,331.15
