date,vegetable,price
2024-01-01,Beans,550.00
2024-01-01,Carrot,280.00
2024-01-01,Cabbage,130.00
2024-01-01,Tomato,270.00
2024-01-01,Brinjal,330.00
2024-01-01,Pumpkin,120.00
2024-01-01,Snake_gourd,200.00
2024-01-01,Green_Chilli,1100.00
2024-01-01,Lime,110.00
2024-01-02,Beans,550.00
2024-01-02,Carrot,300.00
2024-01-02,Cabbage,150.00
2024-01-02,Tomato,300.00
2024-01-02,Brinjal,330.00
2024-01-02,Pumpkin,120.00
2024-01-02,Snake_gourd,200.00
2024-01-02,Green_Chilli,1200.00
2024-01-02,Lime,110.00
2024-01-03,Beans,425.00
2024-01-03,Carrot,360.00
2024-01-03,Cabbage,180.00
2024-01-03,Tomato,125.00
2024-01-03,Brinjal,375.00
2024-01-03,Pumpkin,100.00
2024-01-03,Snake_gourd,190.00
2024-01-03,Green_Chilli,925.00
2024-01-03,Lime,90.00
2024-01-04,Beans,575.00
2024-01-04,Carrot,475.00
2024-01-04,Cabbage,210.00
2024-01-04,Tomato,135.00
2024-01-04,Brinjal,335.00
2024-01-04,Pumpkin,85.00
2024-01-04,Snake_gourd,210.00
2024-01-04,Green_Chilli,825.00
2024-01-04,Lime,110.00
2024-01-05,Beans,600.00
2024-01-05,Carrot,330.00
2024-01-05,Cabbage,180.00
2024-01-05,Tomato,320.00
2024-01-05,Brinjal,380.00
2024-01-05,Pumpkin,170.00
2024-01-05,Snake_gourd,250.00
2024-01-05,Green_Chilli,1200.00
2024-01-05,Lime,180.00
2024-01-06,Beans,600.00
2024-01-06,Carrot,350.00
2024-01-06,Cabbage,200.00
2024-01-06,Tomato,350.00
2024-01-06,Brinjal,380.00
2024-01-06,Pumpkin,170.00
2024-01-06,Snake_gourd,250.00
2024-01-06,Green_Chilli,1300.00
2024-01-06,Lime,180.00
2024-01-07,Beans,455.00
2024-01-07,Carrot,390.00
2024-01-07,Cabbage,210.00
2024-01-07,Tomato,155.00
2024-01-07,Brinjal,405.00
2024-01-07,Pumpkin,130.00
2024-01-07,Snake_gourd,220.00
2024-01-07,Green_Chilli,955.00
2024-01-07,Lime,120.00
2024-01-08,Beans,605.00
2024-01-08,Carrot,505.00
2024-01-08,Cabbage,240.00
2024-01-08,Tomato,165.00
2024-01-08,Brinjal,365.00
2024-01-08,Pumpkin,115.00
2024-01-08,Snake_gourd,240.00
2024-01-08,Green_Chilli,855.00
2024-01-08,Lime,140.00
2024-01-09,Beans,600.00
2024-01-09,Carrot,480.00
2024-01-09,Cabbage,320.00
2024-01-09,Tomato,400.00
2024-01-09,Brinjal,600.00
2024-01-09,Pumpkin,200.00
2024-01-09,Snake_gourd,400.00
2024-01-09,Green_Chilli,1400.00
2024-01-09,Lime,400.00
2024-01-10,Beans,600.00
2024-01-10,Carrot,560.00
2024-01-10,Cabbage,320.00
2024-01-10,Tomato,400.00
2024-01-10,Brinjal,600.00
2024-01-10,Pumpkin,200.00
2024-01-10,Snake_gourd,400.00
2024-01-10,Green_Chilli,1600.00
2024-01-10,Lime,400.00
